"OriginalPath","BackupPath","LastWriteTime","Length"
"C:\Users\labuser\AppData\Local\Temp\2\.ses","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\.ses","8/3/2026 8:33:59 AM","53"
"C:\Users\labuser\AppData\Local\Temp\2\337afda6-cce2-496c-9feb-807b5aa8d7b2.tmp","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\337afda6-cce2-496c-9feb-807b5aa8d7b2.tmp","8/3/2026 8:34:03 AM","0"
"C:\Users\labuser\AppData\Local\Temp\2\42b62aa9-12f7-415c-bfde-eabdd63ed7e8.tmp","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\42b62aa9-12f7-415c-bfde-eabdd63ed7e8.tmp","8/3/2026 8:35:06 AM","0"
"C:\Users\labuser\AppData\Local\Temp\2\45777371-4f29-4a65-bde4-f9d13faacf9c.tmp","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\45777371-4f29-4a65-bde4-f9d13faacf9c.tmp","8/3/2026 8:34:36 AM","0"
"C:\Users\labuser\AppData\Local\Temp\2\4b125627-6b8c-40b4-8651-4fe9182a215b.tmp","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\4b125627-6b8c-40b4-8651-4fe9182a215b.tmp","8/5/2026 9:09:29 AM","7435"
"C:\Users\labuser\AppData\Local\Temp\2\54e2e1d3-0b83-4eca-ae48-555a2ca677f1.tmp","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\54e2e1d3-0b83-4eca-ae48-555a2ca677f1.tmp","8/3/2026 8:33:20 AM","7435"
"C:\Users\labuser\AppData\Local\Temp\2\cv_debug.log","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\cv_debug.log","8/3/2026 11:33:34 AM","722"
"C:\Users\labuser\AppData\Local\Temp\2\exthost-0106b4.cpuprofile","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\exthost-0106b4.cpuprofile","8/5/2026 9:09:52 AM","26986"
"C:\Users\labuser\AppData\Local\Temp\2\exthost-ae830d.cpuprofile","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\exthost-ae830d.cpuprofile","8/5/2026 9:09:46 AM","9671"
"C:\Users\labuser\AppData\Local\Temp\2\f87c3f67-12b1-4ed4-8ecf-cd635bea6b60.tmp","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\f87c3f67-12b1-4ed4-8ecf-cd635bea6b60.tmp","8/3/2026 8:34:37 AM","684017"
"C:\Users\labuser\AppData\Local\Temp\2\msedge_installer.log","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\msedge_installer.log","8/3/2026 8:34:05 AM","14015"
"C:\Users\labuser\AppData\Local\Temp\2\wmsetup.log","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\wmsetup.log","8/3/2026 8:31:49 AM","703"
"C:\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat","C:\Users\labuser\Documents\Training\Day3\TempCleanupArtifacts\RollbackStore_20260805_113834\C\Users\labuser\AppData\Local\Temp\2\gen_py\3.9\dicts.dat","8/3/2026 8:32:20 AM","10"
